paper_reference,paper_year,power_watts,time_minutes,temperature_celsius,antenna_type_raw,antenna_category,data_source,length_mm,width_mm,diameter_mm,depth_mm,volume_mm3,aspect_ratio,energy_joules,power_time_product,log_power,log_time,log_energy,sqrt_time,effective_diameter_mm,estimated_volume_mm3,sphericity_index,has_temperature
A Minimally Invasive Coax-Fed Microwave Ablation Antenna With a Tapered Balun- 2017,2017,20.0,5.0,,Other,Other,Simulated,,,24.0,,,,6000.0,100.0,3.044522437723423,1.791759469228055,8.699681400989514,2.23606797749979,24.0,,,0
Analysis of microwave ablation antenna optimization techniques- 2017,2017,50.0,5.0,,Monopole,Monopole,Simulated,72.0,,25.6,,,,15000.0,250.0,3.9318256327243257,1.791759469228055,9.61587214452889,2.23606797749979,25.6,24706.489937479288,0.35555555555555557,0
Analysis of microwave ablation antenna optimization techniques- 2017,2017,50.0,5.0,,Monopole,Monopole,Simulated,74.2,,25.2,,,,15000.0,250.0,3.9318256327243257,1.791759469228055,9.61587214452889,2.23606797749979,25.2,24671.95755103102,0.33962264150943394,0
Analysis of microwave ablation antenna optimisation techniques- 2017,2017,50.0,5.0,,Monopole,Monopole,Simulated,55.0,,25.6,,,,15000.0,250.0,3.9318256327243257,1.791759469228055,9.61587214452889,2.23606797749979,25.6,18873.013146685567,0.46545454545454545,0
Analysis of microwave ablation antenna optimization techniques- 2017,2017,50.0,5.0,,Dual slot,Dual Slot,Simulated,50.4,,26.0,,,,15000.0,250.0,3.9318256327243257,1.791759469228055,9.61587214452889,2.23606797749979,26.0,17839.219724144277,0.5158730158730159,0
Analysis of microwave ablation antenna optimization techniques- 2017,2017,50.0,5.0,,Dual slot,Dual Slot,Simulated,73.0,,25.4,,,,15000.0,250.0,3.9318256327243257,1.791759469228055,9.61587214452889,2.23606797749979,25.4,24659.763982744887,0.347945205479452,0
Analysis of microwave ablation antenna optimisation techniques- 2017,2017,50.0,5.0,,Dual slot,Dual Slot,Simulated,51.0,,25.2,,,,15000.0,250.0,3.9318256327243257,1.791759469228055,9.61587214452889,2.23606797749979,25.2,16957.814489253127,0.4941176470588235,0
Analysis of efficiency of different antennas for microwave ablation using simulation and experimenta,2018,50.0,10.0,195.0,Monopole,Monopole,Simulated,55.1,,37.7,,,,30000.0,500.0,3.9318256327243257,2.3978952727983707,10.308985993422082,3.1622776601683795,37.7,41004.63227773285,0.6842105263157895,1
Analysis of efficiency of different antennas for microwave ablation using,2018,50.0,10.0,205.0,Single slot,Single Slot,Simulated,58.6,,41.4,,,,30000.0,500.0,3.9318256327243257,2.3978952727983707,10.308985993422082,3.1622776601683795,41.4,52589.243145073364,0.7064846416382252,1
Analysis of efficiency of different antennas for microwave ablation using,2018,50.0,10.0,247.0,Dual slot,Dual Slot,Simulated,57.1,,40.1,,,,30000.0,500.0,3.9318256327243257,2.3978952727983707,10.308985993422082,3.1622776601683795,40.1,48075.46303425475,0.702276707530648,1
Analysis of efficiency of different antennas for microwave ablation using,2018,50.0,10.0,307.0,Dual slot with sleeve,Dual Slot,Simulated,49.3,,44.4,,,,30000.0,500.0,3.9318256327243257,2.3978952727983707,10.308985993422082,3.1622776601683795,44.4,50887.54293558869,0.9006085192697769,1
Large and round ablation zones with microwave ablation: A preliminary study of an optimal aperiodic ,2019,45.0,10.0,136.0,Tri-Slot,Multi Slot/Triple,Simulated,52.7,,51.5,,,,27000.0,450.0,3.828641396489095,2.3978952727983707,10.203629181337648,3.1622776601683795,51.5,73185.27273099699,0.9772296015180265,1
Microwave antennas for thermal ablation of benign,2019,30.0,0.5,,Other,Other,Simulated,4.01,7.0,,,,,900.0,15.0,3.4339872044851463,0.4054651081081644,6.803505257608338,0.7071067811865476,7.0,102.88192341730972,1.0,0
Microwave antennas for thermal ablation of benign,2019,30.0,1.0,,Other,Other,Simulated,12.6,11.81,,,,,1800.0,30.0,3.4339872044851463,0.6931471805599453,7.496097345175956,1.0,11.81,920.1718913338461,0.9373015873015874,0
Microwave antennas for thermal ablation of benign,2019,30.0,1.5,,Other,Other,Simulated,15.92,14.78,,,,,2700.0,45.0,3.4339872044851463,0.9162907318741551,7.901377353792616,1.224744871391589,14.78,1820.9186911608062,0.9283919597989949,0
Microwave antennas for thermal ablation of benign,2019,40.0,0.5,85.0,Other,Other,Simulated,10.99,9.52,,,,,1200.0,20.0,3.713572066704308,0.4054651081081644,7.0909098220799835,0.7071067811865476,9.52,521.5190915271048,0.8662420382165604,1
Microwave antennas for thermal ablation of benign,2019,40.0,1.0,94.0,Other,Other,Simulated,16.72,14.33,,,,,2400.0,40.0,3.713572066704308,0.6931471805599453,7.783640596221253,1.0,14.33,1797.7416332468495,0.8570574162679426,1
Microwave antennas for thermal ablation of benign,2019,40.0,1.5,100.0,Other,Other,Simulated,20.04,17.3,,,,,3600.0,60.0,3.713572066704308,0.9162907318741551,8.188966863648876,1.224744871391589,17.3,3140.42586607825,0.8632734530938124,1
An Optimal Sliding Choke Antenna for Hepatic Microwave Ablation(2009)    Antenna type:Sliding Choke ,2009,100.0,2.0,,Sliding Choke antenna,Sliding Choke,Simulated,,,40.0,,,,12000.0,200.0,4.61512051684126,1.0986122886681098,9.392745258631441,1.4142135623730951,40.0,,,0
Finite-Element Analysis and In Vitro Experiments of Placement Configurations Using Triple Antennas i,2009,50.0,1.0,,Triple antenna : FEM MODEL,Multi Slot/Triple,Simulated,,35.0,,41.0,,,3000.0,50.0,3.9318256327243257,0.6931471805599453,8.006700845440367,1.0,35.0,,,0
Finite-Element Analysis and In Vitro Experiments of Placement Configurations Using Triple Antennas i,2009,50.0,1.0,,Triple antenna : FEM MODEL MODEL,Multi Slot/Triple,Simulated,,29.0,,31.0,,,3000.0,50.0,3.9318256327243257,0.6931471805599453,8.006700845440367,1.0,29.0,,,0
Finite-Element Analysis and In Vitro Experiments of Placement Configurations Using Triple Antennas i,2009,50.0,1.0,,Triple antenna : FEM MODEL,Multi Slot/Triple,Simulated,,46.0,,81.0,,,3000.0,50.0,3.9318256327243257,0.6931471805599453,8.006700845440367,1.0,46.0,,,0
